rank,index,target,prediction,confidence,other_confidence
1,1527,4,1,0.9974106361213254,0.9983001641653617
2,985,4,1,0.995383332647366,0.9968405623300336
3,3914,4,1,0.9937707153504703,0.9956443225176825
4,6790,4,1,0.9931577247298267,0.9951821808736365
5,939,4,1,0.9925979421247063,0.9947563121965206
6,4732,4,1,0.9923453291640568,0.9945699898933774
7,5410,4,1,0.991458236157892,0.9938875237970468
8,510,4,1,0.991074255984947,0.9935989098721953
9,5037,4,1,0.9870430859074929,0.9904440207669163
10,6389,4,1,0.9869683449059433,0.9903834623221474
