rank,index,target,prediction,confidence,other_confidence
1,3969,2,3,0.9997336829526879,0.9995008420024046
2,5355,2,3,0.9997318917648195,0.9994905999201339
3,5915,2,3,0.999673688156523,0.999387774004171
4,6059,2,3,0.999673219341538,0.999388139990479
5,1229,2,3,0.9995956219308818,0.999264397131355
6,6124,2,3,0.9995865637159366,0.9992278957191711
7,1699,2,3,0.9995834507238405,0.9992298758777353
8,4282,2,3,0.9995476812802159,0.9991761272638526
9,1954,7,3,0.9993872835373128,0.9989002527056509
10,1527,4,1,0.9991289794119224,0.9985382456871565
