model,requested_coverage,accepted,coverage,risk,accuracy
logistic,1.0,7180,1.0,0.47158774373259055,0.5284122562674094
logistic,0.9,6462,0.9,0.43949241720829463,0.5605075827917054
logistic,0.75,5385,0.75,0.38644382544103995,0.61355617455896
logistic,0.5,3590,0.5,0.27604456824512535,0.7239554317548746
cnn-seed-0,1.0,7180,1.0,0.21880222841225627,0.7811977715877437
cnn-seed-0,0.9,6462,0.9,0.17920148560817084,0.8207985143918292
cnn-seed-0,0.75,5385,0.75,0.13221912720519963,0.8677808727948004
cnn-seed-0,0.5,3590,0.5,0.10027855153203342,0.8997214484679665
cnn-seed-0-calibrated,1.0,7180,1.0,0.21880222841225627,0.7811977715877437
cnn-seed-0-calibrated,0.9,6462,0.9,0.17935623645930052,0.8206437635406995
cnn-seed-0-calibrated,0.75,5385,0.75,0.1327762302692665,0.8672237697307335
cnn-seed-0-calibrated,0.5,3590,0.5,0.09944289693593315,0.9005571030640669
cnn-seed-1,1.0,7180,1.0,0.20821727019498606,0.791782729805014
cnn-seed-1,0.9,6462,0.9,0.16821417517796347,0.8317858248220366
cnn-seed-1,0.75,5385,0.75,0.12274837511606314,0.8772516248839368
cnn-seed-1,0.5,3590,0.5,0.060724233983286906,0.9392757660167131
cnn-seed-1-calibrated,1.0,7180,1.0,0.20821727019498606,0.791782729805014
cnn-seed-1-calibrated,0.9,6462,0.9,0.16852367688022285,0.8314763231197771
cnn-seed-1-calibrated,0.75,5385,0.75,0.12274837511606314,0.8772516248839368
cnn-seed-1-calibrated,0.5,3590,0.5,0.0596100278551532,0.9403899721448468
cnn-seed-2,1.0,7180,1.0,0.249025069637883,0.7509749303621169
cnn-seed-2,0.9,6462,0.9,0.20705663881151345,0.7929433611884865
cnn-seed-2,0.75,5385,0.75,0.15821727019498608,0.8417827298050139
cnn-seed-2,0.5,3590,0.5,0.1052924791086351,0.8947075208913648
cnn-seed-2-calibrated,1.0,7180,1.0,0.249025069637883,0.7509749303621169
cnn-seed-2-calibrated,0.9,6462,0.9,0.20767564221603219,0.7923243577839678
cnn-seed-2-calibrated,0.75,5385,0.75,0.1584029712163417,0.8415970287836583
cnn-seed-2-calibrated,0.5,3590,0.5,0.10473537604456824,0.8952646239554317
