model,target,prediction,count
logistic,0,1,0
logistic,0,2,0
logistic,0,3,0
logistic,0,4,0
logistic,0,5,0
logistic,0,6,0
logistic,0,7,0
logistic,0,8,0
logistic,1,0,0
logistic,1,2,0
logistic,1,3,0
logistic,1,4,0
logistic,1,5,0
logistic,1,6,0
logistic,1,7,0
logistic,1,8,0
logistic,2,0,0
logistic,2,1,0
logistic,2,3,0
logistic,2,4,0
logistic,2,5,0
logistic,2,6,0
logistic,2,7,0
logistic,2,8,0
logistic,3,0,0
logistic,3,1,0
logistic,3,2,0
logistic,3,4,0
logistic,3,5,0
logistic,3,6,0
logistic,3,7,0
logistic,3,8,0
logistic,4,0,0
logistic,4,1,1
logistic,4,2,0
logistic,4,3,0
logistic,4,5,0
logistic,4,6,0
logistic,4,7,0
logistic,4,8,0
logistic,5,0,0
logistic,5,1,0
logistic,5,2,0
logistic,5,3,0
logistic,5,4,0
logistic,5,6,0
logistic,5,7,0
logistic,5,8,30
logistic,6,0,0
logistic,6,1,0
logistic,6,2,0
logistic,6,3,0
logistic,6,4,0
logistic,6,5,0
logistic,6,7,0
logistic,6,8,0
logistic,7,0,0
logistic,7,1,0
logistic,7,2,0
logistic,7,3,0
logistic,7,4,0
logistic,7,5,0
logistic,7,6,0
logistic,7,8,0
logistic,8,0,0
logistic,8,1,1
logistic,8,2,0
logistic,8,3,0
logistic,8,4,0
logistic,8,5,0
logistic,8,6,0
logistic,8,7,0
cnn-seed-0,0,1,1
cnn-seed-0,0,2,0
cnn-seed-0,0,3,0
cnn-seed-0,0,4,0
cnn-seed-0,0,5,0
cnn-seed-0,0,6,0
cnn-seed-0,0,7,0
cnn-seed-0,0,8,0
cnn-seed-0,1,0,0
cnn-seed-0,1,2,0
cnn-seed-0,1,3,0
cnn-seed-0,1,4,0
cnn-seed-0,1,5,0
cnn-seed-0,1,6,0
cnn-seed-0,1,7,0
cnn-seed-0,1,8,0
cnn-seed-0,2,0,0
cnn-seed-0,2,1,0
cnn-seed-0,2,3,9
cnn-seed-0,2,4,0
cnn-seed-0,2,5,128
cnn-seed-0,2,6,0
cnn-seed-0,2,7,0
cnn-seed-0,2,8,2
cnn-seed-0,3,0,0
cnn-seed-0,3,1,0
cnn-seed-0,3,2,0
cnn-seed-0,3,4,0
cnn-seed-0,3,5,0
cnn-seed-0,3,6,3
cnn-seed-0,3,7,0
cnn-seed-0,3,8,0
cnn-seed-0,4,0,33
cnn-seed-0,4,1,49
cnn-seed-0,4,2,0
cnn-seed-0,4,3,0
cnn-seed-0,4,5,0
cnn-seed-0,4,6,0
cnn-seed-0,4,7,0
cnn-seed-0,4,8,0
cnn-seed-0,5,0,0
cnn-seed-0,5,1,0
cnn-seed-0,5,2,0
cnn-seed-0,5,3,55
cnn-seed-0,5,4,0
cnn-seed-0,5,6,0
cnn-seed-0,5,7,0
cnn-seed-0,5,8,0
cnn-seed-0,6,0,0
cnn-seed-0,6,1,0
cnn-seed-0,6,2,0
cnn-seed-0,6,3,5
cnn-seed-0,6,4,0
cnn-seed-0,6,5,0
cnn-seed-0,6,7,0
cnn-seed-0,6,8,3
cnn-seed-0,7,0,0
cnn-seed-0,7,1,0
cnn-seed-0,7,2,0
cnn-seed-0,7,3,6
cnn-seed-0,7,4,0
cnn-seed-0,7,5,26
cnn-seed-0,7,6,0
cnn-seed-0,7,8,6
cnn-seed-0,8,0,0
cnn-seed-0,8,1,0
cnn-seed-0,8,2,0
cnn-seed-0,8,3,7
cnn-seed-0,8,4,0
cnn-seed-0,8,5,0
cnn-seed-0,8,6,1
cnn-seed-0,8,7,0
cnn-seed-0-calibrated,0,1,1
cnn-seed-0-calibrated,0,2,0
cnn-seed-0-calibrated,0,3,0
cnn-seed-0-calibrated,0,4,1
cnn-seed-0-calibrated,0,5,0
cnn-seed-0-calibrated,0,6,0
cnn-seed-0-calibrated,0,7,0
cnn-seed-0-calibrated,0,8,0
cnn-seed-0-calibrated,1,0,0
cnn-seed-0-calibrated,1,2,0
cnn-seed-0-calibrated,1,3,0
cnn-seed-0-calibrated,1,4,0
cnn-seed-0-calibrated,1,5,0
cnn-seed-0-calibrated,1,6,0
cnn-seed-0-calibrated,1,7,0
cnn-seed-0-calibrated,1,8,0
cnn-seed-0-calibrated,2,0,0
cnn-seed-0-calibrated,2,1,0
cnn-seed-0-calibrated,2,3,9
cnn-seed-0-calibrated,2,4,0
cnn-seed-0-calibrated,2,5,129
cnn-seed-0-calibrated,2,6,0
cnn-seed-0-calibrated,2,7,0
cnn-seed-0-calibrated,2,8,2
cnn-seed-0-calibrated,3,0,0
cnn-seed-0-calibrated,3,1,0
cnn-seed-0-calibrated,3,2,0
cnn-seed-0-calibrated,3,4,0
cnn-seed-0-calibrated,3,5,0
cnn-seed-0-calibrated,3,6,4
cnn-seed-0-calibrated,3,7,0
cnn-seed-0-calibrated,3,8,0
cnn-seed-0-calibrated,4,0,39
cnn-seed-0-calibrated,4,1,52
cnn-seed-0-calibrated,4,2,0
cnn-seed-0-calibrated,4,3,0
cnn-seed-0-calibrated,4,5,0
cnn-seed-0-calibrated,4,6,0
cnn-seed-0-calibrated,4,7,0
cnn-seed-0-calibrated,4,8,0
cnn-seed-0-calibrated,5,0,0
cnn-seed-0-calibrated,5,1,0
cnn-seed-0-calibrated,5,2,0
cnn-seed-0-calibrated,5,3,55
cnn-seed-0-calibrated,5,4,0
cnn-seed-0-calibrated,5,6,0
cnn-seed-0-calibrated,5,7,0
cnn-seed-0-calibrated,5,8,0
cnn-seed-0-calibrated,6,0,0
cnn-seed-0-calibrated,6,1,0
cnn-seed-0-calibrated,6,2,0
cnn-seed-0-calibrated,6,3,7
cnn-seed-0-calibrated,6,4,0
cnn-seed-0-calibrated,6,5,0
cnn-seed-0-calibrated,6,7,0
cnn-seed-0-calibrated,6,8,3
cnn-seed-0-calibrated,7,0,0
cnn-seed-0-calibrated,7,1,0
cnn-seed-0-calibrated,7,2,0
cnn-seed-0-calibrated,7,3,8
cnn-seed-0-calibrated,7,4,0
cnn-seed-0-calibrated,7,5,27
cnn-seed-0-calibrated,7,6,0
cnn-seed-0-calibrated,7,8,8
cnn-seed-0-calibrated,8,0,0
cnn-seed-0-calibrated,8,1,0
cnn-seed-0-calibrated,8,2,0
cnn-seed-0-calibrated,8,3,7
cnn-seed-0-calibrated,8,4,0
cnn-seed-0-calibrated,8,5,0
cnn-seed-0-calibrated,8,6,3
cnn-seed-0-calibrated,8,7,0
cnn-seed-1,0,1,0
cnn-seed-1,0,2,0
cnn-seed-1,0,3,0
cnn-seed-1,0,4,0
cnn-seed-1,0,5,0
cnn-seed-1,0,6,0
cnn-seed-1,0,7,0
cnn-seed-1,0,8,0
cnn-seed-1,1,0,0
cnn-seed-1,1,2,0
cnn-seed-1,1,3,0
cnn-seed-1,1,4,0
cnn-seed-1,1,5,0
cnn-seed-1,1,6,0
cnn-seed-1,1,7,0
cnn-seed-1,1,8,0
cnn-seed-1,2,0,0
cnn-seed-1,2,1,0
cnn-seed-1,2,3,0
cnn-seed-1,2,4,0
cnn-seed-1,2,5,3
cnn-seed-1,2,6,0
cnn-seed-1,2,7,0
cnn-seed-1,2,8,0
cnn-seed-1,3,0,0
cnn-seed-1,3,1,0
cnn-seed-1,3,2,0
cnn-seed-1,3,4,0
cnn-seed-1,3,5,0
cnn-seed-1,3,6,0
cnn-seed-1,3,7,0
cnn-seed-1,3,8,0
cnn-seed-1,4,0,11
cnn-seed-1,4,1,31
cnn-seed-1,4,2,0
cnn-seed-1,4,3,0
cnn-seed-1,4,5,0
cnn-seed-1,4,6,0
cnn-seed-1,4,7,0
cnn-seed-1,4,8,0
cnn-seed-1,5,0,0
cnn-seed-1,5,1,0
cnn-seed-1,5,2,1
cnn-seed-1,5,3,0
cnn-seed-1,5,4,0
cnn-seed-1,5,6,0
cnn-seed-1,5,7,0
cnn-seed-1,5,8,57
cnn-seed-1,6,0,0
cnn-seed-1,6,1,0
cnn-seed-1,6,2,1
cnn-seed-1,6,3,2
cnn-seed-1,6,4,0
cnn-seed-1,6,5,0
cnn-seed-1,6,7,0
cnn-seed-1,6,8,0
cnn-seed-1,7,0,0
cnn-seed-1,7,1,0
cnn-seed-1,7,2,3
cnn-seed-1,7,3,2
cnn-seed-1,7,4,0
cnn-seed-1,7,5,7
cnn-seed-1,7,6,0
cnn-seed-1,7,8,1
cnn-seed-1,8,0,0
cnn-seed-1,8,1,0
cnn-seed-1,8,2,0
cnn-seed-1,8,3,1
cnn-seed-1,8,4,0
cnn-seed-1,8,5,0
cnn-seed-1,8,6,0
cnn-seed-1,8,7,0
cnn-seed-1-calibrated,0,1,0
cnn-seed-1-calibrated,0,2,0
cnn-seed-1-calibrated,0,3,0
cnn-seed-1-calibrated,0,4,0
cnn-seed-1-calibrated,0,5,0
cnn-seed-1-calibrated,0,6,0
cnn-seed-1-calibrated,0,7,0
cnn-seed-1-calibrated,0,8,0
cnn-seed-1-calibrated,1,0,0
cnn-seed-1-calibrated,1,2,0
cnn-seed-1-calibrated,1,3,0
cnn-seed-1-calibrated,1,4,0
cnn-seed-1-calibrated,1,5,0
cnn-seed-1-calibrated,1,6,0
cnn-seed-1-calibrated,1,7,0
cnn-seed-1-calibrated,1,8,0
cnn-seed-1-calibrated,2,0,0
cnn-seed-1-calibrated,2,1,0
cnn-seed-1-calibrated,2,3,0
cnn-seed-1-calibrated,2,4,0
cnn-seed-1-calibrated,2,5,4
cnn-seed-1-calibrated,2,6,0
cnn-seed-1-calibrated,2,7,0
cnn-seed-1-calibrated,2,8,0
cnn-seed-1-calibrated,3,0,0
cnn-seed-1-calibrated,3,1,0
cnn-seed-1-calibrated,3,2,0
cnn-seed-1-calibrated,3,4,0
cnn-seed-1-calibrated,3,5,0
cnn-seed-1-calibrated,3,6,0
cnn-seed-1-calibrated,3,7,0
cnn-seed-1-calibrated,3,8,0
