model,threshold,accepted,coverage,accuracy,risk
logistic,0.5,2524,0.35153203342618383,0.8328050713153724,0.1671949286846276
logistic,0.7,1651,0.22994428969359332,0.9448818897637795,0.055118110236220486
logistic,0.8,1387,0.19317548746518107,0.9516943042537851,0.048305695746214905
logistic,0.9,1078,0.1501392757660167,0.9703153988868275,0.029684601113172504
logistic,0.95,579,0.08064066852367688,1.0,0.0
cnn-seed-0,0.5,6432,0.8958217270194986,0.8229166666666666,0.17708333333333337
cnn-seed-0,0.7,5145,0.7165738161559888,0.8767735665694849,0.12322643343051509
cnn-seed-0,0.8,4430,0.616991643454039,0.8943566591422122,0.10564334085778782
cnn-seed-0,0.9,3434,0.4782729805013928,0.9027373325567851,0.09726266744321488
cnn-seed-0,0.95,2610,0.3635097493036212,0.8938697318007662,0.10613026819923377
cnn-seed-0-calibrated,0.5,6500,0.9052924791086351,0.8184615384615385,0.18153846153846154
cnn-seed-0-calibrated,0.7,5219,0.7268802228412257,0.8743054224947308,0.12569457750526924
cnn-seed-0-calibrated,0.8,4561,0.6352367688022285,0.8912519184389388,0.1087480815610612
cnn-seed-0-calibrated,0.9,3578,0.49832869080779946,0.9007825600894355,0.09921743991056453
cnn-seed-0-calibrated,0.95,2762,0.38467966573816154,0.8971759594496741,0.1028240405503259
cnn-seed-1,0.5,6368,0.886908077994429,0.8352701005025126,0.1647298994974874
cnn-seed-1,0.7,4833,0.6731197771587744,0.9025450031036624,0.09745499689633763
cnn-seed-1,0.8,3900,0.5431754874651811,0.9315384615384615,0.06846153846153846
cnn-seed-1,0.9,2693,0.37506963788300834,0.9554400297066469,0.044559970293353124
cnn-seed-1,0.95,1881,0.26197771587743734,0.9670388091440723,0.03296119085592775
cnn-seed-1-calibrated,0.5,6456,0.8991643454038997,0.8316294919454771,0.16837050805452292
cnn-seed-1-calibrated,0.7,5004,0.6969359331476324,0.8948840927258194,0.10511590727418063
cnn-seed-1-calibrated,0.8,4145,0.5772980501392758,0.9271411338962605,0.07285886610373948
cnn-seed-1-calibrated,0.9,2959,0.41211699164345406,0.9509969584319027,0.049003041568097316
cnn-seed-1-calibrated,0.95,2122,0.29554317548746517,0.9637134778510839,0.036286522148916145
cnn-seed-2,0.5,6376,0.8880222841225627,0.7972082810539524,0.20279171894604764
cnn-seed-2,0.7,4936,0.6874651810584959,0.8616288492706645,0.13837115072933548
cnn-seed-2,0.8,4099,0.5708913649025069,0.8826543059282752,0.1173456940717248
cnn-seed-2,0.9,2905,0.40459610027855153,0.9139414802065404,0.08605851979345958
cnn-seed-2,0.95,1968,0.2740947075208914,0.9375,0.0625
cnn-seed-2-calibrated,0.5,6471,0.9012534818941504,0.7919950548601452,0.2080049451398548
cnn-seed-2-calibrated,0.7,5118,0.7128133704735377,0.85326299335678,0.14673700664321998
cnn-seed-2-calibrated,0.8,4338,0.6041782729805014,0.8775933609958506,0.12240663900414939
cnn-seed-2-calibrated,0.9,3248,0.4523676880222841,0.9051724137931034,0.09482758620689657
cnn-seed-2-calibrated,0.95,2263,0.31518105849582173,0.932832523199293,0.067167476800707
